년도,월,사고시각,사고건수
2024,01,9,3
2024,01,10,18
2024,01,11,20
2024,01,12,30
2024,01,13,19
2024,01,14,22
2024,01,15,40
2024,01,16,14
2024,01,17,1
2024,01,18,7
2024,01,19,8
2024,01,20,25
2024,01,21,8
2024,01,22,2
2024,02,9,4
2024,02,10,9
2024,02,11,21
2024,02,12,17
2024,02,13,19
2024,02,14,19
2024,02,15,26
2024,02,16,14
2024,02,18,1
2024,02,19,10
2024,02,20,19
2024,02,21,13
2024,02,22,2
2024,03,9,4
2024,03,10,5
2024,03,11,3
2024,03,12,2
2024,03,13,3
2024,03,14,2
2024,03,15,6
2024,03,16,2
2024,03,19,3
2024,03,20,1
2024,12,9,1
2024,12,10,17
2024,12,11,22
2024,12,12,8
2024,12,13,10
2024,12,14,13
2024,12,15,17
2024,12,16,7
2024,12,18,7
2024,12,19,7
2024,12,20,9
2024,12,21,8
2024,12,22,4
