날짜,평균풍향,평균풍향명,평균풍속,최고풍속,최고풍속방향,최고풍속방향명,평균온도,최소온도,최고온도,평균습도,최소습도,최고습도,강수량,측정위치
2017-01-01,192,남남서,3.9,10.8,173,남,-5.1,-7.7,-1.1,88.3,42,100,0,하이원 마운틴탑
2017-01-02,184,남,5.5,14.1,82,동,-3.3,-5.4,-1.5,98.8,48,100,0,하이원 마운틴탑
2017-01-03,204,남남서,4.1,13.5,196,남남서,-5.2,-8.4,-0.1,81.9,37,100,0,하이원 마운틴탑
2017-01-04,214,남남서,2.7,13.7,236,남서,-3.8,-7.4,2.2,81.6,32,100,0,하이원 마운틴탑
2017-01-05,54,북동,5.3,12.4,65,동북동,-4.7,-6,-3.1,97.8,88,100,0,하이원 마운틴탑
2017-01-06,201,남남서,1.8,6.5,49,북동,-4.1,-6,-0.5,99,96,100,0,하이원 마운틴탑
2017-01-07,25,북북동,2.2,12.7,85,동,-1.1,-5,5.1,71,30,100,0,하이원 마운틴탑
2017-01-08,80,동북동,1.8,10,36,북동,-1.3,-2.7,0.4,100,100,100,0,하이원 마운틴탑
2017-01-09,214,남남서,2.7,10.1,249,서남서,-5.2,-8.9,-1.7,95.5,75,100,0,하이원 마운틴탑
2017-01-10,213,남남서,4.5,20.3,216,남서,-11.3,-14.8,-7.6,86.7,69,97,0,하이원 마운틴탑
2017-01-11,217,남서,4.4,18.2,237,서남서,-13.7,-17.9,-8.7,68.3,45,92,0,하이원 마운틴탑
2017-01-12,215,남서,6.9,21.6,234,남서,-10.5,-14.4,-7.9,81.6,53,99,0,하이원 마운틴탑
2017-01-13,224,남서,6.4,22.2,232,남서,-14.9,-17.4,-11.9,83.5,57,94,0,하이원 마운틴탑
2017-01-14,222,남서,3.7,22.7,219,남서,-18.3,-20.9,-14.7,74.4,52,90,0,하이원 마운틴탑
2017-01-15,230,남서,3.7,39.4,287,서북서,-14.2,-21.3,-8.1,53.8,30,78,0,하이원 마운틴탑
2017-01-16,6,북,4.9,40.6,13,북북동,-10.8,-14,-6,75.6,52,94,0,하이원 마운틴탑
